model,block_id,block_name,canonical_name,spatial_h,spatial_w,input_channels,output_channels,weight_bytes_per_exec,act_bytes_per_exec,output_write_bytes,total_dm_bytes,dm_per_exec,exec_count_baseline,exec_count_cached,dm_baseline,dm_cached,cim_block_max_dim,cim_block_max_array_size,s3_cache_output_bytes
qdiffae,0,encoder_layer_0,model.input_blocks.0,128,128,3,128,3456,196608,8388608,8588672,200064,100,40,858867200,343546880,128,3456,8388608
qdiffae,1,encoder_layer_1,model.input_blocks.1,128,128,128,128,491520,16781312,8388608,25661440,17272832,100,39,2566144000,1000796160,1152,147456,8388608
qdiffae,2,encoder_layer_2,model.input_blocks.2,128,128,128,128,491520,16781312,8388608,25661440,17272832,100,36,2566144000,923811840,1152,147456,8388608
qdiffae,3,encoder_layer_3,model.input_blocks.3,128,128,128,128,491520,4198400,2097152,6787072,4689920,100,38,678707200,257908736,1152,147456,2097152
qdiffae,4,encoder_layer_4,model.input_blocks.4,64,64,128,128,491520,4198400,2097152,6787072,4689920,100,37,678707200,251121664,1152,147456,2097152
qdiffae,5,encoder_layer_5,model.input_blocks.5,64,64,128,128,491520,4198400,2097152,6787072,4689920,100,36,678707200,244334592,1152,147456,2097152
qdiffae,6,encoder_layer_6,model.input_blocks.6,64,64,128,128,491520,1052672,524288,2068480,1544192,100,37,206848000,76533760,1152,147456,524288
qdiffae,7,encoder_layer_7,model.input_blocks.7,32,32,128,256,1310720,2101248,1048576,4460544,3411968,100,37,446054400,165040128,2304,589824,1048576
qdiffae,8,encoder_layer_8,model.input_blocks.8,32,32,256,256,1572864,2101248,1048576,4722688,3674112,100,33,472268800,155848704,2304,589824,1048576
qdiffae,9,encoder_layer_9,model.input_blocks.9,32,32,256,256,1572864,528384,262144,2363392,2101248,100,33,236339200,77991936,2304,589824,262144
qdiffae,10,encoder_layer_10,model.input_blocks.10,16,16,256,384,3489792,1708032,393216,5591040,5197824,100,33,559104000,184504320,3456,1327104,393216
qdiffae,11,encoder_layer_11,model.input_blocks.11,16,16,384,384,3833856,1576960,393216,5804032,5410816,100,33,580403200,191533056,3456,1327104,393216
qdiffae,12,encoder_layer_12,model.input_blocks.12,16,16,384,384,3244032,200704,98304,3543040,3444736,100,32,354304000,113377280,3456,1327104,98304
qdiffae,13,encoder_layer_13,model.input_blocks.13,8,8,384,512,5111808,331776,131072,5574656,5443584,100,32,557465600,178388992,4608,2359296,131072
qdiffae,14,encoder_layer_14,model.input_blocks.14,8,8,512,512,5505024,266240,131072,5902336,5771264,100,32,590233600,188874752,4608,2359296,131072
qdiffae,15,middle_layer,model.middle_block,8,8,512,512,12058624,794624,131072,12984320,12853248,100,32,1298432000,415498240,4608,2359296,131072
qdiffae,16,decoder_layer_0,model.output_blocks.0,8,8,1024,512,8388608,659456,131072,9179136,9048064,100,32,917913600,293732352,9216,4718592,131072
qdiffae,17,decoder_layer_1,model.output_blocks.1,8,8,1024,512,8388608,659456,131072,9179136,9048064,100,33,917913600,302911488,9216,4718592,131072
qdiffae,18,decoder_layer_2,model.output_blocks.2,8,8,896,512,13238272,1646592,524288,15409152,14884864,100,33,1540915200,508502016,8064,4128768,524288
qdiffae,19,decoder_layer_3,model.output_blocks.3,16,16,896,384,5947392,3018752,393216,9359360,8966144,100,33,935936000,308858880,8064,3096576,393216
qdiffae,20,decoder_layer_4,model.output_blocks.4,16,16,768,384,5455872,2756608,393216,8605696,8212480,100,33,860569600,283987968,6912,2654208,393216
qdiffae,21,decoder_layer_5,model.output_blocks.5,16,16,640,384,8208384,5644288,1572864,15425536,13852672,100,33,1542553600,509042688,5760,2211840,1572864
qdiffae,22,decoder_layer_6,model.output_blocks.6,32,32,640,256,2621440,6295552,1048576,9965568,8916992,100,33,996556800,328863744,5760,1474560,1048576
qdiffae,23,decoder_layer_7,model.output_blocks.7,32,32,512,256,2293760,5246976,1048576,8589312,7540736,100,33,858931200,283447296,4608,1179648,1048576
qdiffae,24,decoder_layer_8,model.output_blocks.8,32,32,384,256,3538944,12591104,4194304,20324352,16130048,100,36,2032435200,731676672,3456,884736,4194304
qdiffae,25,decoder_layer_9,model.output_blocks.9,64,64,384,128,835584,14684160,2097152,17616896,15519744,100,38,1761689600,669442048,3456,442368,2097152
qdiffae,26,decoder_layer_10,model.output_blocks.10,64,64,256,128,671744,10489856,2097152,13258752,11161600,100,37,1325875200,490573824,2304,294912,2097152
qdiffae,27,decoder_layer_11,model.output_blocks.11,64,64,256,128,1163264,27271168,8388608,36823040,28434432,100,36,3682304000,1325629440,2304,294912,8388608
qdiffae,28,decoder_layer_12,model.output_blocks.12,128,128,256,128,671744,41947136,8388608,51007488,42618880,100,36,5100748800,1836269568,2304,294912,8388608
qdiffae,29,decoder_layer_13,model.output_blocks.13,128,128,256,128,671744,41947136,8388608,51007488,42618880,100,37,5100748800,1887277056,2304,294912,8388608
qdiffae,30,decoder_layer_14,model.output_blocks.14,128,128,256,128,671744,41947136,8388608,51007488,42618880,100,40,5100748800,2040299520,2304,294912,8388608
