model,block_id,block_name,layer_name,layer_type,weight_shape,weight_bytes,act_bytes,dm_per_exec,cim_rows,cim_cols,cim_max_dim,cim_array_size,num_params,cim_weight_bits,cim_cell_count_w8,cim_arrays_256x256,cim_arrays_32x32,is_quantized,seq_len
qdiffae,0,encoder_layer_0,encoder_layer_0[0].conv,conv2d,"(128, 3, 3, 3)",3456,196608,200064,27,128,128,3456,3456,8,27648,1,27,True,1
qdiffae,1,encoder_layer_1,encoder_layer_1[0].in_layers.conv,conv2d,"(128, 128, 3, 3)",147456,8388608,8536064,1152,128,1152,147456,147456,8,1179648,18,1152,True,1
qdiffae,1,encoder_layer_1,encoder_layer_1[0].emb_layers.linear,linear,"(256, 512)",131072,2048,133120,512,256,512,131072,131072,8,1048576,16,1024,True,1
qdiffae,1,encoder_layer_1,encoder_layer_1[0].cond_emb_layers.linear,linear,"(128, 512)",65536,2048,67584,512,128,512,65536,65536,8,524288,8,512,True,1
qdiffae,1,encoder_layer_1,encoder_layer_1[0].out_layers.conv,conv2d,"(128, 128, 3, 3)",147456,8388608,8536064,1152,128,1152,147456,147456,8,1179648,18,1152,True,1
qdiffae,2,encoder_layer_2,encoder_layer_2[0].in_layers.conv,conv2d,"(128, 128, 3, 3)",147456,8388608,8536064,1152,128,1152,147456,147456,8,1179648,18,1152,True,1
qdiffae,2,encoder_layer_2,encoder_layer_2[0].emb_layers.linear,linear,"(256, 512)",131072,2048,133120,512,256,512,131072,131072,8,1048576,16,1024,True,1
qdiffae,2,encoder_layer_2,encoder_layer_2[0].cond_emb_layers.linear,linear,"(128, 512)",65536,2048,67584,512,128,512,65536,65536,8,524288,8,512,True,1
qdiffae,2,encoder_layer_2,encoder_layer_2[0].out_layers.conv,conv2d,"(128, 128, 3, 3)",147456,8388608,8536064,1152,128,1152,147456,147456,8,1179648,18,1152,True,1
qdiffae,3,encoder_layer_3,encoder_layer_3[0].in_layers.conv,conv2d,"(128, 128, 3, 3)",147456,2097152,2244608,1152,128,1152,147456,147456,8,1179648,18,1152,True,1
qdiffae,3,encoder_layer_3,encoder_layer_3[0].emb_layers.linear,linear,"(256, 512)",131072,2048,133120,512,256,512,131072,131072,8,1048576,16,1024,True,1
qdiffae,3,encoder_layer_3,encoder_layer_3[0].cond_emb_layers.linear,linear,"(128, 512)",65536,2048,67584,512,128,512,65536,65536,8,524288,8,512,True,1
qdiffae,3,encoder_layer_3,encoder_layer_3[0].out_layers.conv,conv2d,"(128, 128, 3, 3)",147456,2097152,2244608,1152,128,1152,147456,147456,8,1179648,18,1152,True,1
qdiffae,4,encoder_layer_4,encoder_layer_4[0].in_layers.conv,conv2d,"(128, 128, 3, 3)",147456,2097152,2244608,1152,128,1152,147456,147456,8,1179648,18,1152,True,1
qdiffae,4,encoder_layer_4,encoder_layer_4[0].emb_layers.linear,linear,"(256, 512)",131072,2048,133120,512,256,512,131072,131072,8,1048576,16,1024,True,1
qdiffae,4,encoder_layer_4,encoder_layer_4[0].cond_emb_layers.linear,linear,"(128, 512)",65536,2048,67584,512,128,512,65536,65536,8,524288,8,512,True,1
qdiffae,4,encoder_layer_4,encoder_layer_4[0].out_layers.conv,conv2d,"(128, 128, 3, 3)",147456,2097152,2244608,1152,128,1152,147456,147456,8,1179648,18,1152,True,1
