model,block_id,block_name,num_layers,block_max_dim,block_max_array_size,spatial_h,spatial_w,input_channels,output_channels,s3_cache_output_bytes
qdiffae,0,encoder_layer_0,1,128,3456,128,128,3,128,8388608
qdiffae,1,encoder_layer_1,4,1152,147456,128,128,128,128,8388608
qdiffae,2,encoder_layer_2,4,1152,147456,128,128,128,128,8388608
qdiffae,3,encoder_layer_3,4,1152,147456,128,128,128,128,2097152
qdiffae,4,encoder_layer_4,4,1152,147456,64,64,128,128,2097152
qdiffae,5,encoder_layer_5,4,1152,147456,64,64,128,128,2097152
qdiffae,6,encoder_layer_6,4,1152,147456,64,64,128,128,524288
qdiffae,7,encoder_layer_7,5,2304,589824,32,32,128,256,1048576
qdiffae,8,encoder_layer_8,4,2304,589824,32,32,256,256,1048576
qdiffae,9,encoder_layer_9,4,2304,589824,32,32,256,256,262144
qdiffae,10,encoder_layer_10,7,3456,1327104,16,16,256,384,393216
qdiffae,11,encoder_layer_11,6,3456,1327104,16,16,384,384,393216
qdiffae,12,encoder_layer_12,4,3456,1327104,16,16,384,384,98304
qdiffae,13,encoder_layer_13,5,4608,2359296,8,8,384,512,131072
qdiffae,14,encoder_layer_14,4,4608,2359296,8,8,512,512,131072
qdiffae,15,middle_layer,10,4608,2359296,8,8,512,512,131072
qdiffae,16,decoder_layer_0,5,9216,4718592,8,8,1024,512,131072
qdiffae,17,decoder_layer_1,5,9216,4718592,8,8,1024,512,131072
qdiffae,18,decoder_layer_2,9,8064,4128768,8,8,896,512,524288
qdiffae,19,decoder_layer_3,7,8064,3096576,16,16,896,384,393216
qdiffae,20,decoder_layer_4,7,6912,2654208,16,16,768,384,393216
qdiffae,21,decoder_layer_5,11,5760,2211840,16,16,640,384,1572864
qdiffae,22,decoder_layer_6,5,5760,1474560,32,32,640,256,1048576
qdiffae,23,decoder_layer_7,5,4608,1179648,32,32,512,256,1048576
qdiffae,24,decoder_layer_8,9,3456,884736,32,32,384,256,4194304
qdiffae,25,decoder_layer_9,5,3456,442368,64,64,384,128,2097152
qdiffae,26,decoder_layer_10,5,2304,294912,64,64,256,128,2097152
qdiffae,27,decoder_layer_11,9,2304,294912,64,64,256,128,8388608
qdiffae,28,decoder_layer_12,5,2304,294912,128,128,256,128,8388608
qdiffae,29,decoder_layer_13,5,2304,294912,128,128,256,128,8388608
qdiffae,30,decoder_layer_14,5,2304,294912,128,128,256,128,8388608
