config,K,sw,lambda,k_max,fid_5k,fid_50k,rho,status_5k,status_50k,summary_5k,summary_50k
K8_sw2_lam0.25_kmax4,8,2,0.25,4,,,,missing,missing,,
K8_sw2_lam0.5_kmax4,8,2,0.5,4,,,,missing,missing,,
K8_sw2_lam1.0_kmax4,8,2,1.0,4,,,,missing,missing,,
K8_sw2_lam2.0_kmax4,8,2,2.0,4,,,,missing,missing,,
K8_sw3_lam0.25_kmax4,8,3,0.25,4,,,,missing,missing,,
K8_sw3_lam0.5_kmax4,8,3,0.5,4,,,,missing,missing,,
K8_sw3_lam1.0_kmax4,8,3,1.0,4,,,,missing,missing,,
K8_sw3_lam2.0_kmax4,8,3,2.0,4,,,,missing,missing,,
K8_sw5_lam0.25_kmax4,8,5,0.25,4,,,,missing,missing,,
K8_sw5_lam0.5_kmax4,8,5,0.5,4,,,,missing,missing,,
K8_sw5_lam1.0_kmax4,8,5,1.0,4,,,,missing,missing,,
K8_sw5_lam2.0_kmax4,8,5,2.0,4,,,,missing,missing,,
K12_sw2_lam0.25_kmax4,12,2,0.25,4,,,,missing,missing,,
K12_sw2_lam0.5_kmax4,12,2,0.5,4,,,,missing,missing,,
K12_sw2_lam1.0_kmax4,12,2,1.0,4,,,,missing,missing,,
K12_sw2_lam2.0_kmax4,12,2,2.0,4,,,,missing,missing,,
K12_sw3_lam0.25_kmax4,12,3,0.25,4,,,,missing,missing,,
K12_sw3_lam0.5_kmax4,12,3,0.5,4,,,,missing,missing,,
K12_sw3_lam1.0_kmax4,12,3,1.0,4,,,,missing,missing,,
K12_sw3_lam2.0_kmax4,12,3,2.0,4,,,,missing,missing,,
K12_sw5_lam0.25_kmax4,12,5,0.25,4,,,,missing,missing,,
K12_sw5_lam0.5_kmax4,12,5,0.5,4,,,,missing,missing,,
K12_sw5_lam1.0_kmax4,12,5,1.0,4,,,,missing,missing,,
K12_sw5_lam2.0_kmax4,12,5,2.0,4,,,,missing,missing,,
K16_sw2_lam0.25_kmax4,16,2,0.25,4,,,,missing,missing,,
K16_sw2_lam0.5_kmax4,16,2,0.5,4,,,,missing,missing,,
K16_sw2_lam1.0_kmax4,16,2,1.0,4,,,,missing,missing,,
K16_sw2_lam2.0_kmax4,16,2,2.0,4,,,,missing,missing,,
K16_sw3_lam0.25_kmax4,16,3,0.25,4,,,,missing,missing,,
K16_sw3_lam0.5_kmax4,16,3,0.5,4,,,,missing,missing,,
K16_sw3_lam1.0_kmax4,16,3,1.0,4,,,,missing,missing,,
K16_sw3_lam2.0_kmax4,16,3,2.0,4,,,,missing,missing,,
K16_sw5_lam0.25_kmax4,16,5,0.25,4,,,,missing,missing,,
K16_sw5_lam0.5_kmax4,16,5,0.5,4,,,,missing,missing,,
K16_sw5_lam1.0_kmax4,16,5,1.0,4,,,,missing,missing,,
K16_sw5_lam2.0_kmax4,16,5,2.0,4,,,,missing,missing,,
K20_sw2_lam0.25_kmax4,20,2,0.25,4,,,,missing,missing,,
K20_sw2_lam0.5_kmax4,20,2,0.5,4,,,,missing,missing,,
K20_sw2_lam1.0_kmax4,20,2,1.0,4,,,,missing,missing,,
K20_sw2_lam2.0_kmax4,20,2,2.0,4,,,,missing,missing,,
K20_sw3_lam0.25_kmax4,20,3,0.25,4,,,,missing,missing,,
K20_sw3_lam0.5_kmax4,20,3,0.5,4,,,,missing,missing,,
K20_sw3_lam1.0_kmax4,20,3,1.0,4,,,,missing,missing,,
K20_sw3_lam2.0_kmax4,20,3,2.0,4,,,,missing,missing,,
K20_sw5_lam0.25_kmax4,20,5,0.25,4,,,,missing,missing,,
K20_sw5_lam0.5_kmax4,20,5,0.5,4,,,,missing,missing,,
K20_sw5_lam1.0_kmax4,20,5,1.0,4,,,,missing,missing,,
K20_sw5_lam2.0_kmax4,20,5,2.0,4,,,,missing,missing,,
K25_sw2_lam0.25_kmax4,25,2,0.25,4,,,,missing,missing,,
K25_sw2_lam0.5_kmax4,25,2,0.5,4,,,,missing,missing,,
K25_sw2_lam1.0_kmax4,25,2,1.0,4,,,,missing,missing,,
K25_sw2_lam2.0_kmax4,25,2,2.0,4,,,,missing,missing,,
K25_sw3_lam0.25_kmax4,25,3,0.25,4,,,,missing,missing,,
K25_sw3_lam0.5_kmax4,25,3,0.5,4,,,,missing,missing,,
K25_sw3_lam1.0_kmax4,25,3,1.0,4,,,,missing,missing,,
K25_sw3_lam2.0_kmax4,25,3,2.0,4,,,,missing,missing,,
K25_sw5_lam0.25_kmax4,25,5,0.25,4,,,,missing,missing,,
K25_sw5_lam0.5_kmax4,25,5,0.5,4,,,,missing,missing,,
K25_sw5_lam1.0_kmax4,25,5,1.0,4,,,,missing,missing,,
K25_sw5_lam2.0_kmax4,25,5,2.0,4,,,,missing,missing,,
