idx,layer_name,numel,residual_mean,residual_std,residual_abs_max,residual_MAE,residual_RMSE,residual_rel_L2,residual_q99_abs,residual_q999_abs,w_lora_mean,w_lora_std,w_lora_q_mean,w_lora_q_std,ks_distance
0,model.input_blocks.1.0.in_layers.2,147456,-1.597023242538853e-07,0.001115730730816722,0.005722224712371826,0.0008881025714799762,0.001115730730816722,0.013257427341444718,0.0031596500426530846,0.00499672111123802,-0.0020720099564641714,0.08413340151309967,-0.0020721699111163616,0.08414307981729507,0.010589999999999988
1,model.input_blocks.1.0.emb_layers.1,131072,-2.086852191496291e-06,0.00042751646833494306,0.0020747692324221134,0.00032674046815373003,0.000427521561505273,0.010451495038823977,0.0013033759803511174,0.0018086143219843511,-0.0009991537081077695,0.04089309647679329,-0.0010012405691668391,0.04089505970478058,0.00935000000000008
2,model.input_blocks.1.0.cond_emb_layers.1,65536,2.2392621303879423e-06,0.0007747340714558959,0.003620913252234459,0.0006089749513193965,0.0007747373310849071,0.009895708774710013,0.0022350527346134187,0.003400184726342534,-0.006932963151484728,0.07798265665769577,-0.006930723320692778,0.07798831164836884,0.007171630859375
3,model.input_blocks.1.0.out_layers.3,147456,-1.5551707122085645e-07,0.0012575811706483364,0.00768554862588644,0.0009665138204582036,0.0012575811706483364,0.014204999636718018,0.003614813461899758,0.00681743043940516,-0.0010409136302769184,0.08852477371692657,-0.001041069277562201,0.08853387087583542,0.01651999999999998
4,model.input_blocks.2.0.in_layers.2,147456,-7.697696673858445e-06,0.0013369140215218067,0.0047311969101428986,0.0011105681769549847,0.0013369361404329538,0.015417987534815814,0.003290417604148401,0.004178626276552687,-0.0023912566248327494,0.08667978644371033,-0.00239895423874259,0.08669230341911316,0.014209999999999945
5,model.input_blocks.2.0.emb_layers.1,131072,-6.165348622744204e-07,0.0004413776332512498,0.001900412142276764,0.0003545630315784365,0.0004413780407048762,0.009937739357083582,0.001170911984518167,0.0016152043896727343,-0.0009155194275081158,0.04440489411354065,-0.0009161360212601721,0.04440828785300255,0.008789999999999965
6,model.input_blocks.2.0.cond_emb_layers.1,65536,1.959700284714927e-06,0.0008062634733505547,0.0022314414381980896,0.0006708045257255435,0.0008062658598646522,0.010701486394551433,0.0018500471487641337,0.0020786991901695657,-0.0013610447058454156,0.07532918453216553,-0.0013590850867331028,0.07533389329910278,0.008544921875
7,model.input_blocks.2.0.out_layers.3,147456,-1.5152602372836554e-07,0.000982179306447506,0.0029691606760025024,0.0008162719896063209,0.0009821794228628278,0.012386607008290319,0.002295754570513965,0.002793935821391663,-0.0010359794832766056,0.07928690314292908,-0.001036131172440946,0.07928956300020218,0.011699999999999988
8,model.input_blocks.3.0.in_layers.2,147456,-3.0948694984545e-06,0.0013452930143103004,0.00554482638835907,0.0010827952064573765,0.001345296623185277,0.015599508407333526,0.003659838065505039,0.004920596536248967,-0.00217684474773705,0.08621221035718918,-0.0021799395326524973,0.08621963858604431,0.01323000000000002
9,model.input_blocks.3.0.emb_layers.1,131072,-2.0123857211729046e-06,0.00042581328307278454,0.002620931714773178,0.00033526262268424034,0.000425818026997149,0.009330642072526932,0.0011993856169283388,0.002065841668285459,-0.0008026838186196983,0.04562945291399956,-0.0008046961738727987,0.045629825443029404,0.006780000000000008
