layer_idx,layer_name,act_std_mean,act_std_cv,delta_over_std_mean,delta_over_std_max,err_rel_l2_mean,err_rel_l2_max
0,model.input_blocks.1.0.in_layers.2,0.5289566830173135,0.02556599108685827,0.10496496974776942,0.11383448815557144,0.028128136661835015,0.03540092660114169
1,model.input_blocks.1.0.emb_layers.1,0.13566144950687886,0.33461811725941315,0.1297019655604027,0.2596777438677958,0.040056855753064155,0.1158704087138176
2,model.input_blocks.1.0.cond_emb_layers.1,0.07437130622565746,0.0,0.030509608708380587,0.0361611688097441,0.01167728410102427,0.05587431648746133
3,model.input_blocks.1.0.out_layers.3,0.16420792503748088,0.23435010239125698,0.2297701030114598,0.5058639451626522,0.054485445050522684,0.1360834538936615
4,model.input_blocks.2.0.in_layers.2,0.39523837734013795,0.06919776182439026,0.16500664143093402,0.1898921686104395,0.04448221615049988,0.052956818137317896
5,model.input_blocks.2.0.emb_layers.1,0.13566144950687886,0.33461811725941315,0.1305896305653913,0.27045892973148294,0.04175614129751921,0.12280702590942383
6,model.input_blocks.2.0.cond_emb_layers.1,0.07437130622565746,0.0,0.030941528404866647,0.03628807506945111,0.022765505980933087,0.25011149048805237
7,model.input_blocks.2.0.out_layers.3,0.07422375047113747,0.27312677234113747,0.3609302567112031,0.45403184674826635,0.10037240023724735,0.12646100763231516
8,model.input_blocks.3.0.in_layers.2,0.2392280980013311,0.026562199911705078,0.16154640976145276,0.1681347844650967,0.04635461822152138,0.04835064988583326
9,model.input_blocks.3.0.emb_layers.1,0.13566144950687886,0.33461811725941315,0.1308777505258542,0.26865393123355624,0.04022956831380725,0.10840488225221634
10,model.input_blocks.3.0.cond_emb_layers.1,0.07437130622565746,0.0,0.029948635600505077,0.03537681429068026,0.025930982978316024,0.28805553168058395
11,model.input_blocks.3.0.out_layers.3,0.08773348028305918,0.22223811651486314,0.25198091135254413,0.35725196759402444,0.07361070128157735,0.09924693312495947
