step,delta_over_std_mean_across_layers,err_rel_l2_mean_across_layers
99,0.09097042435227502,0.08853857996873557
98,0.09196853894166016,0.08128639818501791
97,0.09276126107568794,0.07437561326577062
96,0.09303293247520822,0.06856785480548362
95,0.09424080870597921,0.06356215852346005
94,0.09473637474433758,0.06060945474725616
93,0.0950224620869525,0.058222859105028744
92,0.09509909095483465,0.057477462981062544
91,0.09568410421023003,0.0548455655649637
90,0.0953766498482392,0.05473155041441454
89,0.09576276918343538,0.05287581919775611
88,0.09578917443115331,0.05219030594868985
87,0.09557484577297569,0.051839698389604956
86,0.09546699767450086,0.05135167115700564
85,0.09562475417150028,0.050540998559777756
84,0.09563615709899846,0.050503248276488326
83,0.0957411055305426,0.05056684802402742
82,0.09597067077863335,0.050762321272798415
81,0.09596917028441362,0.050498232233803717
80,0.09599012129984368,0.0506088766602001
79,0.09607300180205769,0.05052698895701074
78,0.09596795846825956,0.05057987669632504
77,0.0960392021614809,0.05061733628307203
76,0.09595499444314337,0.05056966469523364
75,0.09598698271760608,0.0506628461805771
74,0.09585907655966247,0.05081577519387273
73,0.09590790461512422,0.05084722775001345
72,0.0958992743855039,0.05076077306293882
71,0.09582724712069142,0.0510694204430495
70,0.09569996384750072,0.05084443146396162
69,0.09567892826845091,0.051108679900478036
68,0.095698774454239,0.05074605213511469
67,0.09544571030335874,0.051235361127016536
66,0.09543666157831385,0.05131705180309447
65,0.09567220099872555,0.05060332746777151
64,0.09569847562187735,0.05063746271521918
63,0.0955463664243937,0.051386433471426636
62,0.09565097655288525,0.050962679434035506
61,0.09550708784960249,0.05058940993788253
60,0.09545325096202364,0.05045242179767229
59,0.09547101957087857,0.05065889307713535
58,0.0953122248835179,0.05051345014778365
57,0.09535482702726697,0.050422370559369614
56,0.0954625280671209,0.05049585628522826
55,0.09530778887970526,0.05011903495344865
54,0.09495202669445271,0.05054267226618581
53,0.09505930423597886,0.05062332864950544
52,0.09503669905999058,0.05059706633744229
51,0.09489996684454438,0.05080431243986823
50,0.09488398937809699,0.05143301685041349
49,0.09521511070063972,0.050930045499366576
48,0.09506630549600224,0.051366510963167196
47,0.09516466388709992,0.05066743258752727
46,0.0951511796807049,0.05107693448163835
45,0.0949651327186866,0.0505717847995194
44,0.09569029591491574,0.04980993785180284
43,0.09603678553686461,0.04909904286115696
42,0.09605899276522668,0.04956676302244887
41,0.09605858448091645,0.049403356358275884
40,0.0962624238412887,0.049130317472320585
39,0.09680672179570146,0.04885295474336349
38,0.09675262848177357,0.04913820864167064
37,0.0970664243675982,0.0489342518907506
36,0.09782360803856781,0.04901373099918211
35,0.09798966477284969,0.04873057001885692
34,0.0980069366149391,0.04866282859168548
33,0.09912468240164891,0.04886808442035025
32,0.09918163223637126,0.04919478542537296
31,0.10025194248856116,0.04867758037871681
30,0.10067644002544571,0.049170664570660196
29,0.10102351320602378,0.04883980456506833
28,0.10163250460795592,0.04920302754201527
27,0.10257037177215551,0.04926931473975336
26,0.10377991343849752,0.049536393312571037
25,0.10405780696762752,0.04944702711821135
24,0.10497135279990981,0.04989522442005442
23,0.10627682810635465,0.05017774625864279
22,0.1067418729064542,0.05031947238354145
21,0.10806440111658032,0.05045218303566799
20,0.10905176731547524,0.05060400860633568
19,0.10946650489776114,0.050788538885535674
18,0.11127641970852617,0.05130539833667821
17,0.11305764407903054,0.05118677226876441
16,0.11427694143234271,0.05144877417894479
15,0.11502721110401681,0.05149059555842541
14,0.11761278549628848,0.05189784301577934
13,0.11812908881957013,0.05158196376370532
12,0.11960129474116332,0.0526364674010048
11,0.12145324428354566,0.052981848239765636
10,0.12290515942297345,0.05307110233947502
9,0.12404650222494824,0.053115513105045205
8,0.12602135839990933,0.053317542066464996
7,0.12758780853619908,0.053907880091407734
6,0.12853171801780894,0.05486459135510294
5,0.1318481815771925,0.0548873748164624
4,0.13169983218445078,0.05531919336312317
3,0.13383838079496302,0.056361174569298914
2,0.1338822856832992,0.05595349199803812
1,0.13303890398177315,0.05641739439119452
0,0.11571665719427995,0.05566224364031638
