block_name,n_layers,fid_sensitivity,w_delta_over_std_mean,w_delta_over_std_max,act_delta_over_std_mean,act_err_rel_l2_mean,w_err_std_ratio_mean,w_err_entropy_ratio_mean
model.input_blocks.1,4,0.5644179582595825,0.10951833673984679,0.1477900114551962,0.12373666175700312,0.03358693039161153,1.0013430087467614,0.9997352872301157
model.input_blocks.10,4,0.0,0.07197541323179694,0.09571835920885823,0.09560698124646072,0.047490680950577374,0.9998669337272874,0.9999073693411127
model.input_blocks.11,4,0.0,0.07129702770978047,0.09189547969687276,0.08802019568214256,0.04788929236528929,0.9994007871145911,0.9999227094923362
model.input_blocks.12,4,0.0,0.052891206621017886,0.07835232193329368,0.08108298744486238,0.0328610310779186,0.9998423113991487,0.9999217116479984
model.input_blocks.13,4,0.0,0.06499892784756173,0.08302529038306128,0.07949939182908647,0.04910605088836746,1.0001698090110476,0.9999310620260466
model.input_blocks.14,4,0.0,0.0680271382127255,0.09111302545255955,0.08269284273184885,0.06053905092208879,0.9995143750245893,0.9999280741357194
model.input_blocks.2,4,0.051510196179151535,0.07645998737928336,0.09158042250864669,0.17186701427809875,0.05234406591654988,1.000574012659873,0.9997517880882033
model.input_blocks.3,4,0.0,0.09568178215399807,0.12295130422517564,0.14358842681008904,0.0465314676988055,0.9992521498108693,0.9997636830241161
model.input_blocks.4,4,0.0,0.07590198203361141,0.1016713083538648,0.12401144391878217,0.036638265202636834,0.999529783336852,0.9997411365940664
model.input_blocks.5,4,0.0,0.07550131638903351,0.0991510052468928,0.10940821927867547,0.03331447802222101,1.0003494952254095,0.9997492095747873
model.input_blocks.6,4,0.0,0.07975082182521133,0.11546393008889115,0.1201857165976268,0.03606381511723157,0.9995293703837597,0.9997724173255316
model.input_blocks.7,4,0.0,0.09830248444129083,0.13436974742050836,0.1316181896574212,0.0409564721188508,0.9997897373085634,0.9998792199396742
model.input_blocks.8,4,0.0,0.09610003645490754,0.13414917643239016,0.12873522936495366,0.06459705016459338,0.999562922822523,0.9998811791648983
model.input_blocks.9,4,0.0,0.08010967408297447,0.11981427831461453,0.16962320274266834,0.06024845636158716,1.0008446517928522,0.9998744386144249
model.middle_block,8,0.0,0.06694754529595831,0.0968456166999641,0.07390792210982347,0.07136406349251047,0.9997324400669829,0.999933201215096
model.output_blocks.0,4,0.0,0.06101601292417588,0.07319488548600189,0.08118656913074046,0.04353325975185726,0.9995146589298403,0.9999308160096472
model.output_blocks.1,4,0.0,0.06364335496878556,0.0891849140722774,0.08466467022228519,0.052102919168246456,0.9994165051416734,0.9999345537435909
model.output_blocks.10,4,0.05292428284883499,0.07401272037577894,0.08695914153249472,0.10003257771115388,0.031193025923566892,1.00018147493591,0.9997862578461065
model.output_blocks.11,8,0.06990193575620651,0.0834220354051743,0.10462526452162478,0.09208754006308031,0.07201977350094238,0.9998199603130187,0.9997729765531075
model.output_blocks.12,4,0.20680691301822662,0.13507636366810638,0.2602464490338145,0.11308069023841558,0.07348846374254207,1.0003640518219192,0.9997534869693946
model.output_blocks.13,4,1.0,0.12296826797936705,0.2012306137015471,0.1535681723545739,0.045013420511386355,1.0022934202890863,0.999769530271361
model.output_blocks.14,4,0.46725454926490784,0.11202945641409354,0.14022494653088416,0.10151969560409997,0.03294945943169296,1.001679642945831,0.9997380536399492
model.output_blocks.2,8,0.0,0.06723709849422552,0.0898738858563388,0.0772867606902391,0.11836593821528368,0.9996838664594808,0.9999334781661184
model.output_blocks.3,4,0.0,0.07017303823554936,0.0982241931651265,0.09471848913250497,0.09767716053029289,1.0000401159304428,0.9999251597293604
model.output_blocks.4,4,0.0,0.09127520868510207,0.13271705081911822,0.08723267004584993,0.04977432159590535,0.9997813233893043,0.9999241752834511
model.output_blocks.5,8,0.0,0.07935998500455041,0.1365477873502823,0.08434171694426157,0.03738615010966896,0.9994343653629227,0.9999201046896584
model.output_blocks.6,4,0.0,0.10925080665551337,0.17053236364848262,0.09425737415145441,0.03164461253443733,0.9989859757332027,0.9998895316230083
model.output_blocks.7,4,0.0,0.08611529281520199,0.11728617828416094,0.08507132377568373,0.029744149380130695,1.0000045245357856,0.9998977654338193
model.output_blocks.8,8,0.02412874437868595,0.09097837350236032,0.16588136756603258,0.08835298849153035,0.03944594417815096,1.0000122415967012,0.9998879359860726
model.output_blocks.9,4,0.07450569421052933,0.07507613774154973,0.09348983963449062,0.0929328411569061,0.03220491184620186,0.9994155243780787,0.9997943702462821
