layer_idx,layer_name,block_name,layer_type,fid_sensitivity,w_std,w_kurtosis,w_delta_over_std,pch_delta_over_std_mean,act_std_mean,act_std_cv,act_delta_over_std_mean,act_err_rel_l2_mean,w_err_std_ratio,w_err_kurtosis,w_err_pch_kurtosis_mean,w_err_entropy_ratio
0,model.input_blocks.1.0.in_layers.2,model.input_blocks.1,in_layers,0.5644179582595825,0.08413340151309967,5.164214147385479,0.11388728836180312,0.04267246276140213,0.5289566830173135,0.02556599108685827,0.10496496974776942,0.028128136661835015,0.999163752039512,0.8214189618929009,-1.1951268901117484,0.9997954379067915
1,model.input_blocks.1.0.emb_layers.1,model.input_blocks.1,emb_layers,0.5644179582595825,0.04089309647679329,7.313287971579941,0.09625010696369142,0.033417947590351105,0.13566144950687886,0.33461811725941315,0.1297019655604027,0.040056855753064155,0.999716386515513,1.3602182216678758,-1.1948092966067785,0.9997571044327014
2,model.input_blocks.1.0.cond_emb_layers.1,model.input_blocks.1,cond_emb_layers,0.5644179582595825,0.07798265665769577,5.017096738494391,0.08014594017869643,0.034661561250686646,0.07437130622565746,0.0,0.030509608708380587,0.01167728410102427,0.9997823557720354,0.9295500759647295,-1.1987877170246584,0.9996276248318189
3,model.input_blocks.1.0.out_layers.3,model.input_blocks.1,out_layers,0.5644179582595825,0.08852477371692657,10.57544254903911,0.1477900114551962,0.0482676699757576,0.16420792503748088,0.23435010239125698,0.2297701030114598,0.054485445050522684,1.0067095406599849,2.1822372684740854,-1.2015623170453729,0.9997609817491512
4,model.input_blocks.2.0.in_layers.2,model.input_blocks.2,in_layers,0.051510196179151535,0.08667978644371033,5.911897455337559,0.09158042250864669,0.05157581344246864,0.39523837734013795,0.06919776182439026,0.16500664143093402,0.04448221615049988,1.0018154270845496,-0.4452363190675914,-1.1948451802155875,0.9998064875765811
5,model.input_blocks.2.0.emb_layers.1,model.input_blocks.2,emb_layers,0.051510196179151535,0.04440489411354065,3.738681206395081,0.08423902535755012,0.03260527551174164,0.13566144950687886,0.33461811725941315,0.1305896305653913,0.04175614129751921,0.999414724281462,0.1593168447611668,-1.1930885220606,0.9998227410193701
6,model.input_blocks.2.0.cond_emb_layers.1,model.input_blocks.2,cond_emb_layers,0.051510196179151535,0.07532918453216553,2.70058329007541,0.05584893765253557,0.038357749581336975,0.07437130622565746,0.0,0.030941528404866647,0.022765505980933087,0.99747012816901,-0.6472920605034393,-1.1853347377784624,0.9995718759815402
7,model.input_blocks.2.0.out_layers.3,model.input_blocks.2,out_layers,0.051510196179151535,0.07928690314292908,4.19166519734996,0.07417156399840108,0.04198138415813446,0.07422375047113747,0.27312677234113747,0.3609302567112031,0.10037240023724735,1.0035957711044707,-0.5780365595374963,-1.2018382376848642,0.9998060477753219
8,model.input_blocks.3.0.in_layers.2,model.input_blocks.3,in_layers,0.0,0.08621221035718918,7.16859907561121,0.12295130422517564,0.050279922783374786,0.2392280980013311,0.026562199911705078,0.16154640976145276,0.04635461822152138,1.00158665107132,0.23835661658039298,-1.1981344886436025,0.999824869065098
9,model.input_blocks.3.0.emb_layers.1,model.input_blocks.3,emb_layers,0.0,0.04562945291399956,3.823483418536769,0.10131019572936309,0.03039250709116459,0.13566144950687886,0.33461811725941315,0.1308777505258542,0.04022956831380725,0.998888312326833,1.452486607978483,-1.1905249346225997,0.9997993869158106
10,model.input_blocks.3.0.cond_emb_layers.1,model.input_blocks.3,cond_emb_layers,0.0,0.08098232001066208,2.1243937516370073,0.057423432820889526,0.029793502762913704,0.07437130622565746,0.0,0.029948635600505077,0.025930982978316024,0.9960620613619526,-0.2503733506744559,-1.1825162830303069,0.9996053304068139
11,model.input_blocks.3.0.out_layers.3,model.input_blocks.3,out_layers,0.0,0.07752631604671478,5.302692315084421,0.10104219584056402,0.04784516245126724,0.08773348028305918,0.22223811651486314,0.25198091135254413,0.07361070128157735,1.0004715744833717,-0.06580864138566023,-1.1963209814947557,0.9998251457087419
12,model.input_blocks.4.0.in_layers.2,model.input_blocks.4,in_layers,0.0,0.0880337506532669,5.366226747789099,0.1016713083538648,0.05096644535660744,0.30502734690904615,0.05078983781208275,0.15453105872359557,0.0431769151147455,1.0010141948468803,-0.09971608782035979,-1.1985995449268998,0.9998188300457939
13,model.input_blocks.4.0.emb_layers.1,model.input_blocks.4,emb_layers,0.0,0.04686746001243591,2.162864577214454,0.067983030897306,0.029768696054816246,0.13566144950687886,0.33461811725941315,0.1309334339194915,0.04139908632263541,1.000930984798747,-0.0821124315901316,-1.1941538799274327,0.9997777258956535
14,model.input_blocks.4.0.cond_emb_layers.1,model.input_blocks.4,cond_emb_layers,0.0,0.08132144063711166,1.5041524730534093,0.05652553446367043,0.028591085225343704,0.07437130622565746,0.0,0.03205556369394578,0.009388616846408696,0.9971225249034215,-0.441625924702032,-1.187382222181939,0.9995604707201836
15,model.input_blocks.4.0.out_layers.3,model.input_blocks.4,out_layers,0.0,0.07069858908653259,3.8187894889464724,0.07742805441960442,0.04257075488567352,0.12670464352704586,0.2670702942146896,0.17852571933809586,0.05258844252675772,0.9990514287983595,-0.49068237136187776,-1.1933305601075435,0.9998075197146346
16,model.input_blocks.5.0.in_layers.2,model.input_blocks.5,in_layers,0.0,0.0853235125541687,6.934112154300701,0.0991510052468928,0.05613439157605171,0.2896503109484911,0.03828003619587121,0.1373049043014408,0.03812942342832684,1.0024997935970494,-0.3199317970411908,-1.2047896515327872,0.9998436234192484
17,model.input_blocks.5.0.emb_layers.1,model.input_blocks.5,emb_layers,0.0,0.04812898859381676,1.4441202592052287,0.05890483805277695,0.028629276901483536,0.13566144950687886,0.33461811725941315,0.13072041932539077,0.04007543947547674,0.9996596054652981,-0.18301326196433987,-1.1934808399300145,0.9997816845634473
18,model.input_blocks.5.0.cond_emb_layers.1,model.input_blocks.5,cond_emb_layers,0.0,0.08413716405630112,1.4897201753278368,0.06706397848961036,0.028431570157408714,0.07437130622565746,0.0,0.031841920003266244,0.009387531693791971,0.9991784118742948,-0.04440963433803713,-1.192516867854848,0.9995579741145695
19,model.input_blocks.5.0.out_layers.3,model.input_blocks.5,out_layers,0.0,0.06830509006977081,2.9817192172320865,0.0768854437668539,0.04107622429728508,0.14398484744131565,0.3827133430889832,0.1377656334846041,0.045665517491288485,1.0000601699649962,-0.5496149979456382,-1.197268377131635,0.999813556201884
20,model.input_blocks.6.0.in_layers.2,model.input_blocks.6,in_layers,0.0,0.08410317450761795,4.23511579504358,0.11546393008889115,0.04299159720540047,0.33127606492489575,0.03740046663115717,0.1086598294577129,0.030364188521634788,1.0001685701517702,0.44692305654515563,-1.197250090887494,0.9998618139432118
21,model.input_blocks.6.0.emb_layers.1,model.input_blocks.6,emb_layers,0.0,0.048004355281591415,2.2131481865649896,0.06337739946290268,0.028611280024051666,0.13566144950687886,0.33461811725941315,0.13067799454773757,0.04094335103407502,0.9974655856849928,0.08432377972358962,-1.1866837463043745,0.999758291251733
22,model.input_blocks.6.0.cond_emb_layers.1,model.input_blocks.6,cond_emb_layers,0.0,0.0932910367846489,1.214865971169397,0.05525667777413069,0.02926337532699108,0.07437130622565746,0.0,0.03042998869287352,0.011025564908050001,1.000682490275352,-0.5220277049301489,-1.1978225300231882,0.9996290064763491
23,model.input_blocks.6.0.out_layers.3,model.input_blocks.6,out_layers,0.0,0.07778573036193848,3.8291485794647073,0.08490527997492081,0.042891282588243484,0.12640164923854172,0.16510357455302438,0.21097505369218322,0.06192215600516647,0.9998008354229236,-0.1656523612130898,-1.1968937701941464,0.9998405576308321
24,model.input_blocks.7.0.in_layers.2,model.input_blocks.7,in_layers,0.0,0.0866638571023941,4.501127810241329,0.1220629172201205,0.04519648849964142,0.3699852091819048,0.015096068625958328,0.13125242586308836,0.038183109196834264,1.000720998151225,0.0208481393368527,-1.1985649318645755,0.9998913149641047
25,model.input_blocks.7.0.emb_layers.1,model.input_blocks.7,emb_layers,0.0,0.04600667208433151,2.6592309866151327,0.07675875367768742,0.02810610644519329,0.13566144950687886,0.33461811725941315,0.13114423242530626,0.041370726488530636,0.998466893695965,-0.05796359838259857,-1.1904491611260775,0.9998693451889896
26,model.input_blocks.7.0.cond_emb_layers.1,model.input_blocks.7,cond_emb_layers,0.0,0.08967148512601852,1.0085129903464942,0.06001851944684706,0.028453752398490906,0.07437130622565746,0.0,0.02949402184953032,0.01593568257987499,1.000080094951708,-0.4550066598845688,-1.1943823908898223,0.9998006038256688
27,model.input_blocks.7.0.out_layers.3,model.input_blocks.7,out_layers,0.0,0.06634233891963959,3.39503756654811,0.13436974742050836,0.04729129374027252,0.12687303202226757,0.2776073000207873,0.2345820784917598,0.0683363702101633,0.9998909624353557,0.7661638740187149,-1.1984216128323895,0.9999556157799334
28,model.input_blocks.8.0.in_layers.2,model.input_blocks.8,in_layers,0.0,0.08494959771633148,6.100483960323377,0.13414917643239016,0.055356837809085846,0.37031458199024203,0.05230739288986127,0.10920262654275968,0.11568813506979496,0.9994615944574576,-0.08395301167532976,-1.197987842011739,0.9999554815320542
29,model.input_blocks.8.0.emb_layers.1,model.input_blocks.8,emb_layers,0.0,0.04904688149690628,2.6483818966623227,0.08476236910219635,0.02611384354531765,0.13566144950687886,0.33461811725941315,0.13042561319044924,0.04041152141988277,0.998623402918012,0.6636883001350466,-1.1915237512855699,0.99985303098314
30,model.input_blocks.8.0.cond_emb_layers.1,model.input_blocks.8,cond_emb_layers,0.0,0.09440507739782333,1.2348594654923595,0.057548041015113884,0.028608884662389755,0.07437130622565746,0.0,0.02909624356550313,0.03575548636727035,0.9999933748022888,-0.6229760337703718,-1.1931402979574877,0.9997558983169756
31,model.input_blocks.8.0.out_layers.3,model.input_blocks.8,out_layers,0.0,0.06670985370874405,3.371371172747611,0.10794055926992974,0.044096045196056366,0.16042323020286858,0.3311421551043457,0.24621643416110264,0.06653305780142546,1.0001733191123336,-0.2941304858820959,-1.1983329325783527,0.9999603058274236
32,model.input_blocks.9.0.in_layers.2,model.input_blocks.9,in_layers,0.0,0.08024141937494278,2.640423409609423,0.11981427831461453,0.04424598067998886,0.43003690559417007,0.049755865918463225,0.12063413211739211,0.0803492399211973,1.0009191123973384,0.41050516917218216,-1.2000036434161125,0.9999557125351393
33,model.input_blocks.9.0.emb_layers.1,model.input_blocks.9,emb_layers,0.0,0.04564980790019035,3.9482659843222967,0.0842276044079279,0.02764616720378399,0.13566144950687886,0.33461811725941315,0.13011877254893117,0.04111044835299253,1.0015178943814234,0.9545033512616645,-1.196866524931356,0.9998531368598226
34,model.input_blocks.9.0.cond_emb_layers.1,model.input_blocks.9,cond_emb_layers,0.0,0.10069394111633301,0.6147916957169022,0.04216705221568149,0.028007812798023224,0.07437130622565746,0.0,0.030149955926628596,0.008794440717902035,1.0019996041637922,-0.9284732288686954,-1.19886657125926,0.9997279617110607
35,model.input_blocks.9.0.out_layers.3,model.input_blocks.9,out_layers,0.0,0.08448679745197296,3.371165932183688,0.07422976139367396,0.0427987203001976,0.12909032893367112,0.17637175274476632,0.39758995037772155,0.11073969645425677,0.9989419962288544,-0.8265894586368074,-1.1974128199342102,0.9999609433516774
36,model.input_blocks.10.0.in_layers.2,model.input_blocks.10,in_layers,0.0,0.08279401063919067,1.6265814363597908,0.09571835920885823,0.0428084135055542,0.47959745686501265,0.018534330047224774,0.11272207376852349,0.08969137185718865,1.000209452507925,-0.1452386907670764,-1.2002105253808626,0.9999696664780766
