layer_idx,layer_name,numel,err_mean,err_std,err_abs_max,err_rmse,delta_int8,theoretical_std,std_ratio,err_kurtosis,err_skewness,ks_stat,ks_pvalue,pct_within_half_delta,pct_within_delta,entropy_ratio,pch_std_ratio_mean,pch_std_ratio_median,pch_kurtosis_mean,pch_ks_stat_mean
0,model.input_blocks.1.0.in_layers.2,147456,1.597023242538853e-07,0.001115730730816722,0.005722224712371826,0.001115730730816722,0.009581724959095633,0.0027660057422174097,0.999163752039512,0.8214189618929009,-0.002915761684727724,0.007761200141906732,0.5806799787327845,0.9987521701388888,1.0,0.9997954379067915,0.9986546429807673,0.9991907488479324,-1.1951268901117484,0.027145558727905153
1,model.input_blocks.1.0.emb_layers.1,131072,2.086852191496291e-06,0.00042751646833494306,0.0020747692324221134,0.000427521561505273,0.003935964910064157,0.0011362152001732312,0.999716386515513,1.3602182216678758,0.02109521283630942,0.0065062186241150455,0.7884745315116554,0.9998245239257812,1.0,0.9997571044327014,0.9987634174062814,0.9988706069629932,-1.1948092966067785,0.03710585937369615
2,model.input_blocks.1.0.cond_emb_layers.1,65536,-2.2392621303879423e-06,0.0007747340714558959,0.003620913252234459,0.0007747373310849071,0.006249993335543655,0.0018042176673547482,0.9997823557720354,0.9295500759647295,0.028916445629996627,0.012093484973907498,0.10644320339062119,0.997894287109375,1.0,0.9996276248318189,0.9986902851880124,1.0005922084055103,-1.1987877170246584,0.03676545713096857
3,model.input_blocks.1.0.out_layers.3,147456,1.5551707122085645e-07,0.0012575811706483364,0.00768554862588644,0.0012575811706483364,0.013083077321841023,0.0037767591067968016,1.0067095406599849,2.1822372684740854,0.018775902763524897,0.01214674816131589,0.10372715319715653,0.9987453884548612,1.0,0.9997609817491512,1.0062162415749096,1.0053306902842198,-1.2015623170453729,0.027820792473852638
4,model.input_blocks.2.0.in_layers.2,147456,7.697696673858445e-06,0.0013369140215218067,0.0047311969101428986,0.0013369361404329538,0.007938171465565838,0.0022915527162589216,1.0018154270845496,-0.4452363190675914,-0.011664824949784465,0.016710489273071283,0.007424087294073407,0.9982435438368056,1.0,0.9998064875765811,1.001258217056022,1.0013473963733688,-1.1948451802155875,0.027668362332507968
5,model.input_blocks.2.0.emb_layers.1,131072,6.165348622744204e-07,0.0004413776332512498,0.001900412142276764,0.0004413780407048762,0.003740625001314118,0.0010798254257230753,0.999414724281462,0.1593168447611668,-0.0055274417925310305,0.004895378589630073,0.9693011070069849,0.9999313354492188,1.0,0.9998227410193701,0.9981623678096585,0.9978055493183706,-1.1930885220606,0.03822253574617207
6,model.input_blocks.2.0.cond_emb_layers.1,65536,-1.959700284714927e-06,0.0008062634733505547,0.0022314414381980896,0.0008062658598646522,0.004207054930409108,0.0012144721482836205,0.99747012816901,-0.6472920605034393,0.0018571388213039868,0.00846680192947391,0.4678420961779143,0.9993896484375,1.0,0.9995718759815402,0.9963645462759925,0.9983960206214695,-1.1853347377784624,0.037444112822413445
7,model.input_blocks.2.0.out_layers.3,147456,1.5152602372836554e-07,0.000982179306447506,0.0029691606760025024,0.0009821794228628278,0.005880833610774964,0.0016976504341201621,1.0035957711044707,-0.5780365595374963,-0.006343789613676168,0.007453219223022445,0.6322509758446415,0.9999186197916666,1.0,0.9998060477753219,1.0031522772272337,1.0031607766406878,-1.2018382376848642,0.02632768646813929
8,model.input_blocks.3.0.in_layers.2,147456,3.0948694984545e-06,0.0013452930143103004,0.00554482638835907,0.001345296623185277,0.010599903703674557,0.0030599286283503084,1.00158665107132,0.23835661658039298,-0.0007063053480862258,0.005461798000335694,0.9249749053329311,0.9996609157986112,1.0,0.999824869065098,1.0009845517511624,1.0000004982431339,-1.1981344886436025,0.0285299305152148
9,model.input_blocks.3.0.emb_layers.1,131072,2.0123857211729046e-06,0.00042581328307278454,0.002620931714773178,0.000425818026997149,0.004622728805842362,0.0013344668602218626,0.998888312326833,1.452486607978483,0.007975712711601236,0.0073872416019439835,0.6433729822166756,0.9994354248046875,1.0,0.9997993869158106,0.9978120944635765,0.9993870564242664,-1.1905249346225997,0.03746289503760636
